LINK,BRAND,PRODUCT,PRICE,COUNT OF FAVORITE,RATING,RATING SCORE
https://www.trendyol.com/reeder/p13-blue-max-l-2022-64gb-cep-telefonu-reeder-tr-garantili-siyah-p-159037719,Reeder,P13 Blue Max L 2022 64GB Cep Telefonu (Reeder TR Garantili) Siyah,2.450 TL,Son 3 günde 100+ ürün satıldı!,(791),4.0
https://www.trendyol.com/apple/iphone-11-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-65149494,Apple,iPhone 11 64 GB Beyaz Cep Telefonu Aksesuarsız Kutu (Apple Türkiye Garantili),23.999 TL,229B kişi favoriledi!,(8870),4.8
https://www.trendyol.com/apple/iphone-13-128-gb-yildiz-isigi-cep-telefonu-apple-turkiye-garantili-p-150059024,Apple,iPhone 13 128 GB Yıldız Işığı Cep Telefonu (Apple Türkiye Garantili),38.149 TL,Son 3 günde 250+ ürün satıldı!,(4353),4.7
https://www.trendyol.com/apple/iphone-15-pro-max-256-gb-mavi-titanyum-p-762254884,Apple,iPhone 15 Pro Max 256 GB Mavi Titanyum,81.999 TL,13.3B kişi favoriledi!,(74),4.7
https://www.trendyol.com/samsung/galaxy-a35-256-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-816445621,Samsung,Galaxy A35 256 GB Siyah Cep Telefonu (Samsung Türkiye Garantili),14.134 TL,10.2B kişi favoriledi!,(156),4.6
https://www.trendyol.com/apple/iphone-14-128-gb-gece-yarisi-p-355707175,Apple,iPhone 14 128 GB Gece Yarısı,45.499 TL,28.3B kişi favoriledi!,(518),4.7
https://www.trendyol.com/samsung/galaxy-a35-256-gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-816445643,Samsung,Galaxy A35 256 GB Mavi Cep Telefonu (Samsung Türkiye Garantili),14.769 TL,12.2B kişi favoriledi!,(105),4.6
https://www.trendyol.com/apple/iphone-15-pro-max-256-gb-siyah-titanyum-p-762254852,Apple,iPhone 15 Pro Max 256 GB Siyah Titanyum,82.999 TL,11.6B kişi favoriledi!,(77),4.6
https://www.trendyol.com/samsung/galaxy-a55-256-gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-816445689,Samsung,Galaxy A55 256 GB Mavi Cep Telefonu (Samsung Türkiye Garantili),17.849 TL,Son 3 günde 100+ ürün satıldı!,(97),4.7
https://www.trendyol.com/agm-mobile/agm-m9-4g-lte-tuslu-dayanikli-cep-telefonu-p-835468804,AGM Mobile,AGM M9 4G LTE Tuşlu Dayanıklı Cep Telefonu,5.674 TL,,(3),3.7
https://www.trendyol.com/apple/iphone-13-128-gb-siyah-cep-telefonu-apple-turkiye-garantili-p-150058735,Apple,iPhone 13 128 GB Siyah Cep Telefonu (Apple Türkiye Garantili),"37.635,03 TL",Son 3 günde 100+ ürün satıldı!,(2978),4.7
https://www.trendyol.com/jaxel/yuksek-ses-hizli-arama-efsane-tuslu-cep-telefonu-p-853553426,JAXEL,Yüksek Ses Hızlı Arama Efsane Tuşlu Cep Telefonu,799 TL,,,
https://www.trendyol.com/samsung/galaxy-a55-256-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-816445676,Samsung,Galaxy A55 256 GB Siyah Cep Telefonu (Samsung Türkiye Garantili),17.849 TL,5900 kişi favoriledi!,(75),4.7
https://www.trendyol.com/samsung/galaxy-a54-5g-256-gb-beyaz-cep-telefonu-samsung-turkiye-garantili-p-679425559,Samsung,Galaxy A54 5G 256 GB Beyaz Cep Telefonu (Samsung Türkiye Garantili),"17.176,42 TL",32B kişi favoriledi!,(648),4.6
https://www.trendyol.com/samsung/galaxy-a54-5g-256-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-679293925,Samsung,Galaxy A54 5G 256 GB Siyah Cep Telefonu (Samsung Türkiye Garantili),"16.282,70 TL",18.9B kişi favoriledi!,(667),4.7
